,day,size,250,out_250,500,out_500,1000,out_1000,2000,out_2000
0,2023-12-05 00:00:00,30,0.019473522836624346,0,-0.006282001652922206,0,0.20336692401897694,0,0.03729356119504276,0
0,2023-12-04 00:00:00,30,0.013044364602181707,0,0.022291241856997646,0,0.1488688698003274,0,-0.03621501393821384,0
0,2023-12-03 00:00:00,30,-0.023283215541368727,1,-0.043585191733325965,0,0.15723443971864412,0,-0.060355753391836735,0
0,2023-12-02 00:00:00,30,-0.033037769527708497,0,0.007985322214289318,0,0.15469411677789588,0,0.035596339507677266,1
0,2023-12-01 00:00:00,30,0.025170466252055757,0,0.06115052031132523,0,0.2462996301842936,0,0.03334845843492687,0
0,2023-11-30 00:00:00,30,0.0012891795759823114,0,0.029110468643904538,0,0.2339166377231121,0,0.05664276547784978,0
0,2023-11-29 00:00:00,30,0.019854850787272633,0,0.07654367423240725,0,0.1627066745791244,0,0.035999147402624644,0
0,2023-11-28 00:00:00,30,-0.0032455190088778387,0,0.0327309591522274,0,0.1748311887057797,0,-0.026805594311553948,0
0,2023-11-27 00:00:00,30,-0.005217248749344133,0,0.05164031641245665,0,0.19693330826677072,0,0.09523981597161782,0
0,2023-11-26 00:00:00,30,-0.006626991479462007,1,-0.012140057654258967,1,0.1461925038148772,0,-0.06310136048098511,0
0,2023-11-25 00:00:00,30,-0.09181707435469616,0,-0.09067033692086601,1,0.1423669067432145,0,-0.3564050884626184,0
0,2023-11-24 00:00:00,30,-0.003990700488062489,0,-0.0005114090689814509,0,0.1319549528546258,0,0.03186592634784299,0
0,2023-11-23 00:00:00,30,-0.13157046306101616,1,-0.1482880426850795,1,0.0917456950205038,1,-0.15258728950882172,0
0,2023-11-22 00:00:00,30,-0.0374253670859029,1,-0.016169346027541966,1,0.15316574403912067,0,-0.0015409661296034898,0
0,2023-11-21 00:00:00,30,-0.041562244705667196,0,-0.008699632387643548,0,0.07802494576065977,0,-0.002203591003340156,0
0,2023-11-20 00:00:00,30,0.017351200478909024,0,0.0061480385007578065,0,0.2533692395193792,0,-0.008246538081715245,0
0,2023-11-19 00:00:00,30,0.017065859081591687,1,-0.008517148578635817,0,0.1534962605436257,0,-0.044066001678302276,0
0,2023-11-18 00:00:00,30,-1.5368893460685218,2,-1.989408388127862,0,-2.646388693214584,0,3.9359069413273082,1
0,2023-11-17 00:00:00,30,0.28420178706558424,0,0.3735587123288342,0,0.5386816557750199,0,0.5541144962031423,0
0,2023-11-16 00:00:00,30,0.35195766787247573,0,0.4309657310277929,0,0.5324406527094514,0,0.5160771548222306,0
0,2023-11-15 00:00:00,30,0.3326922057744096,0,0.26583105837625626,1,0.490253967056991,1,0.2695762492494834,1
0,2023-11-14 00:00:00,30,0.33017543683985406,1,0.5100310568709404,0,0.5755894141653265,0,0.5342362357970082,1
0,2023-11-13 00:00:00,30,0.3778594007169962,0,0.5303108004137776,0,0.5677363152797972,1,0.5898536032330507,2
0,2023-11-12 00:00:00,30,0.21199073358575737,0,0.37659784184347656,0,0.4342924306871683,0,0.2330199571053376,0
0,2023-11-11 00:00:00,30,0.2428656099561791,0,0.3149138924112418,1,0.5163268275913354,0,0.31054460206943396,0
0,2023-11-10 00:00:00,30,0.17202314127103607,1,0.29065454312311856,1,0.5214976636624343,0,0.30720228534410166,0
0,2023-11-09 00:00:00,30,0.2810667700018663,0,0.26007254648645506,1,0.5221394374267468,0,0.2552674796110062,0
0,2023-11-08 00:00:00,30,0.39974664070160304,1,0.5879231360024734,0,0.604681737962443,0,0.5907257246719912,1
0,2023-11-07 00:00:00,30,0.07519690539672513,0,0.2094523645684837,1,0.34068855009831245,2,0.1504860226104348,0
0,2023-11-06 00:00:00,30,0.3884761988036996,1,0.442144207428883,0,0.6426957374194493,0,0.5996376159160915,0
0,2023-11-05 00:00:00,30,0.2922970861880248,0,0.47677431618495664,1,0.5746597284190176,0,0.4675811851129033,0
0,2023-11-04 00:00:00,30,0.2892764823074294,0,0.4637206079561487,0,0.6265696533108076,0,0.4718567788518982,0
0,2023-11-03 00:00:00,30,0.34633340578809113,0,0.4657115433077606,1,0.6380235724523728,0,0.5813248887726284,0
0,2023-11-02 00:00:00,30,0.24419023220568903,0,0.3297815694708726,1,0.507222276011294,2,0.31074606067348365,0
0,2023-11-01 00:00:00,30,0.2541588464654679,0,0.21696433331637657,0,0.4538160764956235,0,0.15253083864458186,0
0,2023-10-31 00:00:00,30,0.2541588464654679,0,0.21696433331637657,0,0.4538160764956235,0,0.15253083864458186,0
0,2023-10-30 00:00:00,30,0.31011012901862073,0,0.3207084764948054,1,0.476316847897334,0,0.27100603166765275,2
0,2023-10-29 00:00:00,30,0.29409045186510824,0,0.33879413304531114,0,0.5156327172025411,0,0.3099241342848445,2
0,2023-10-28 00:00:00,30,0.2685419907068738,0,0.33192929972888735,2,0.5734260567419883,1,0.38713857327139334,0
0,2023-10-27 00:00:00,30,0.34112365630089525,0,0.3383081316724713,1,0.5435704786936324,0,0.3959574136559522,1
0,2023-10-26 00:00:00,30,0.27500285026202304,0,0.4066579844834498,0,0.5623819936277659,0,0.4247060781907746,1
0,2023-10-25 00:00:00,30,0.32105431917788946,0,0.4166414845326353,0,0.5330295400049627,0,0.3982601844765062,0
0,2023-10-24 00:00:00,30,0.367946310078528,0,0.4628206882015172,0,0.5254702523468905,0,0.4393047184285745,0
0,2023-10-23 00:00:00,30,0.37487262006522754,0,0.4989616582878247,0,0.6324364862860125,0,0.5643710431051338,0
0,2023-10-22 00:00:00,30,0.37305345961494796,1,0.49785900143907996,1,0.6345452854817515,1,0.42190516967541847,1
0,2023-10-21 00:00:00,30,0.290013413115445,2,0.2728990118253634,1,0.5158711813466351,3,0.24933595238748327,1
0,2023-10-20 00:00:00,30,0.3697142741102722,2,0.5133197088675122,3,0.5730356088875455,0,0.5293985803208623,1
0,2023-10-19 00:00:00,30,0.35603564222107925,0,0.4528740911490453,0,0.5892937700132724,0,0.4081449346706755,1
0,2023-10-18 00:00:00,30,0.33259174458925694,0,0.5419320315980828,0,0.5549109377673797,0,0.4772772591650591,1
0,2023-10-17 00:00:00,30,0.36973795050461655,0,0.5172595110273243,0,0.6027416563019354,0,0.5190935309229557,0
0,2023-10-16 00:00:00,30,0.3379690590128321,0,0.4620323920550816,1,0.5095623118456636,0,0.4517985997308069,0
0,2023-10-15 00:00:00,30,0.27394233604144763,0,0.4775947699046768,0,0.41068851102625725,0,0.42554325404386767,3
0,2023-10-14 00:00:00,30,0.309124338791345,0,0.4715615703022015,0,0.46997624816874994,0,0.46529257928708334,0
0,2023-10-13 00:00:00,30,0.3406299528306516,0,0.38290837139472716,0,0.5312506314885477,0,0.2848552002829317,2
0,2023-10-12 00:00:00,30,0.30692674423296445,0,0.42709607028800806,0,0.5011099846227272,0,0.24534674586420574,0
0,2023-10-11 00:00:00,30,0.2648895021224043,0,0.18396411564164414,2,0.4278280734756938,1,-0.01936791275829203,0
0,2023-10-10 00:00:00,30,0.3649549985248393,0,0.4805656698519537,0,0.5791569320319511,0,0.45617762065194384,0
0,2023-10-09 00:00:00,30,0.310337964037679,0,0.35978807631901566,1,0.4670587949140631,0,0.21425117657621293,0
